R,G,B
24,28,240
24,28,232
24,24,232
24,28,232
16,24,232
24,24,224
24,24,224
24,24,224
24,24,224
24,24,224
24,24,224
24,24,216
24,24,216
24,24,208
24,24,208
24,24,200
24,24,192
24,24,200
24,24,200
24,28,184
24,24,184
32,28,176
32,28,176
32,28,176
32,24,176
32,28,168
24,24,168
32,28,160
32,28,160
32,24,160
32,24,160
32,24,144
32,24,144
24,24,144
24,24,144
24,24,128
24,20,128
24,24,120
24,24,128
24,20,120
24,16,120
16,16,120
16,16,120
16,16,112
16,16,104
16,16,96
16,12,96
8,12,96
16,12,96
8,12,88
8,12,88
8,12,88
8,12,88
16,8,88
16,8,88
16,12,80
16,8,80
8,12,80
8,12,80
8,12,80
8,12,80
8,8,72
8,12,72
8,8,72
8,8,72
0,12,72
0,8,72
0,8,72
0,8,72
8,8,80
8,8,80
0,4,80
8,8,80
8,8,88
8,8,88
8,8,80
8,8,80
8,4,88
8,4,88
8,8,80
8,8,80
8,8,80
8,8,80
0,8,80
8,8,88
8,12,88
8,8,88
8,8,96
8,8,104
8,8,104
8,8,104
8,8,104
8,8,112
8,12,112
8,12,112
16,8,120
16,8,120
8,12,128
8,12,128
16,12,128
16,12,128
16,12,136
16,12,136
16,12,144
16,16,144
16,16,152
16,16,152
16,12,160
16,16,168
8,16,176
16,20,176
16,20,176
16,16,176
16,16,184
16,20,192
24,16,200
24,20,200
24,20,200
24,20,200
24,24,200
24,24,208
24,24,208
24,24,208
24,24,216
24,24,216
24,24,224
24,28,224
24,24,232
24,28,232
24,28,232
24,28,232
24,28,240
24,28,240
24,28,240
24,28,240
24,28,248
24,28,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,36,248
24,32,248
24,32,248
32,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,32,248
24,28,248
24,28,248
24,28,240
24,28,240
24,32,240
24,28,232
24,32,240
24,32,240
24,28,240
16,24,240
24,28,232
24,28,232
24,28,224
24,28,224
24,24,224
24,24,224
24,28,208
24,28,216
24,28,216
24,28,216
24,28,200
24,28,200
24,28,200
24,28,200
32,28,184
32,28,192
32,28,184
32,28,184
32,28,184
32,24,184
24,24,176
32,24,176
32,28,160
32,24,160
32,28,160
32,28,160
24,24,152
24,24,152
24,24,144
24,24,144
24,20,136
24,20,136
24,20,128
24,20,136
24,20,120
24,16,120
16,20,120
16,20,120
16,12,112
16,16,112
16,12,104
16,12,104
8,12,96
8,12,96
16,12,88
16,12,88
8,12,88
8,12,80
8,8,80
16,12,80
16,12,80
16,12,80
16,12,80
8,8,80
8,12,72
0,12,72
8,8,72
8,12,72
8,8,80
8,4,80
0,8,80
0,4,80
0,8,72
0,8,72
8,8,72
8,8,80
8,8,80
8,8,72
8,4,80
8,4,80
8,8,72
8,8,80
8,4,88
8,8,88
8,8,80
8,8,80
0,12,88
0,12,88
8,8,96
8,8,96
8,12,96
8,8,96
0,8,104
8,12,104
8,8,104
8,8,104
8,12,112
8,12,104
8,12,112
8,12,112
8,12,120
16,12,120
16,12,128
16,12,128
16,12,128
16,12,136
16,16,136
16,16,136
16,16,144
16,16,144
8,16,152
16,20,152
16,16,168
16,16,168
16,16,176
16,20,176
16,20,184
16,20,184
16,20,184
16,24,184
16,20,200
24,24,200
24,24,208
24,24,208
24,24,200
24,24,208
24,28,216
24,24,216
24,28,224
24,28,224
24,28,224
24,28,224
24,28,232
24,28,240
24,28,248
24,28,248
24,28,248
32,32,248
32,32,248
32,32,240
32,36,248
32,32,248
32,32,248
32,32,248
32,36,248
32,32,248
32,36,248
32,36,248
32,36,248
32,36,248
32,32,248
32,36,248
24,36,248
24,36,248
24,36,248
24,36,248
32,32,248
32,36,248
32,32,248
24,32,248
32,28,248
32,28,248
32,32,240
32,32,240
32,32,240
32,32,240
32,28,240
32,28,240
24,28,240
24,24,240
24,24,240
24,28,240
32,28,232
32,28,232
32,28,224
32,28,224
32,28,216
32,28,216
32,28,216
32,28,216
32,28,200
32,28,200
24,28,200
32,28,200
40,32,192
40,32,192
32,28,184
32,28,184
32,28,192
32,28,192
24,28,176
32,28,176
32,28,168
32,28,168
32,24,168
32,28,168
24,24,160
24,24,160
32,24,152
32,24,144
24,24,136
24,20,136
24,20,136
16,16,136
24,20,120
24,20,128
24,16,120
24,16,120
24,16,112
16,12,112
16,12,104
16,12,104
16,12,96
16,12,88
8,12,88
16,12,88
16,12,88
16,8,88
8,12,88
8,12,80
8,12,88
8,8,80
8,8,80
8,8,80
8,12,80
8,8,72
8,12,80
8,12,80
0,8,72
8,8,72
8,4,80
8,8,80
8,8,72
8,8,72
8,8,72
8,8,80
8,8,80
8,8,80
8,4,80
8,4,80
8,8,80
8,8,80
8,4,88
8,8,80
8,8,88
8,8,88
8,8,88
8,8,88
8,8,96
8,8,96
8,8,96
8,4,104
8,12,96
8,12,96
8,8,104
8,8,104
8,12,104
8,16,104
8,12,112
8,16,112
8,12,120
16,12,128
16,12,128
16,12,128
16,16,136
16,16,136
8,16,144
8,16,144
16,16,152
16,16,152
16,16,160
16,20,160
16,16,168
24,16,176
16,20,184
16,20,184
16,20,192
16,20,192
16,24,192
16,24,192
24,24,208
24,24,208
24,24,208
24,24,208
24,24,216
24,24,216
24,24,224
24,28,224
24,24,232
32,24,232
24,28,232
24,24,240
24,28,248
24,32,248
24,28,248
32,32,248
32,28,248
32,32,248
32,32,248
32,36,248
32,40,248
32,40,248
32,32,240
32,36,248
32,36,248
32,36,248
32,36,248
32,40,248
32,36,248
32,36,248
32,36,248
32,36,248
32,32,248
32,36,248
24,36,248
24,36,248
32,32,248
32,32,248
32,36,248
32,32,248
32,36,248
32,36,248
32,32,248
32,28,248
32,32,248
32,32,248
32,32,248
32,32,248
24,32,248
24,28,240
24,28,240
24,28,240
24,28,232
24,28,232
32,28,224
32,28,224
32,28,216
32,28,216
32,28,224
32,28,224
32,28,216
32,32,216
32,28,208
32,28,208
32,32,200
32,32,200
32,32,192
32,32,192
40,32,192
32,28,192
32,32,176
32,32,176
24,28,176
32,28,176
32,28,168
32,28,168
32,24,168
32,24,160
32,24,160
32,24,160
24,24,144
24,20,136
24,20,136
24,20,136
24,20,120
24,16,120
24,16,120
16,16,120
16,16,104
16,16,112
24,12,104
24,12,104
16,12,96
16,12,96
8,12,96
8,8,96
16,12,80
16,12,88
8,12,80
8,12,80
8,8,80
8,8,80
8,8,80
8,8,72
8,8,80
8,8,80
8,8,80
8,8,80
8,8,72
8,8,72
0,8,80
0,8,80
8,4,80
8,4,80
8,8,80
8,8,80
8,8,80
8,4,72
0,4,80
8,4,80
8,8,72
8,8,72
8,4,80
8,8,80
8,8,88
8,8,88
8,8,96
8,8,96
8,8,96
8,8,96
8,8,96
8,12,96
8,8,96
8,12,96
8,8,104
8,8,112
8,12,112
16,12,112
8,12,120
8,12,120
16,12,128
16,12,128
16,12,128
16,12,128
16,16,128
16,16,136
8,12,152
8,16,152
16,16,160
16,16,160
16,16,168
16,20,168
24,16,184
24,16,184
24,16,192
24,16,192
16,20,200
24,20,200
24,24,192
24,24,200
24,24,208
24,24,208
24,24,216
24,24,224
24,24,232
24,24,232
24,28,232
24,28,232
32,24,232
32,24,240
24,28,240
24,32,240
32,32,248
32,32,248
32,32,248
32,32,248
32,32,248
32,32,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
32,40,248
32,36,248
32,40,248
24,40,248
32,40,248
24,40,248
32,40,248
32,36,248
32,40,248
32,40,248
32,40,248
32,40,248
32,40,248
32,40,248
32,40,248
32,36,248
32,36,248
32,36,248
32,32,248
24,32,248
32,36,248
32,32,248
32,32,248
32,28,248
24,32,248
24,32,240
24,28,248
24,32,232
24,32,232
32,28,232
32,28,232
32,32,224
32,32,232
